1029,11954.92,12.03,11.7,spiral weld,,28.62890139,-81.33604755,56.69,44,0.285851728,0
1050,12192.74,12.02,11.7,spiral weld,,28.6309658,-81.33586808,54.17,45,0.050076858,0
1071,12447.97,12.02,11.7,spiral weld,,28.63326432,-81.33584023,55.62,51,0.085984616,0
1092,12673.38,12.01,11.7,spiral weld,,28.63491392,-81.33458706,55.63,55,0.047878122,0
1113,12925.54,12,11.7,spiral weld,,28.63668152,-81.33293708,56.6,59,0.124487427,0
1134,13170.01,12.02,11.7,spiral weld,,28.6383938,-81.33134405,56.65,60,0,0
1155,13423.76,12.02,11.7,spiral weld,,28.64016707,-81.32969053,57.77,64,0.123905777,0
1176,13674.69,12,11.7,spiral weld,,28.64192139,-81.32805708,59.03,48,0.023773969,0
1197,13923.8,12.01,11.7,spiral weld,,28.64366385,-81.32643805,60.14,60,0.124205928,0
1218,14175.62,12.01,11.7,spiral weld,,28.64541933,-81.32479144,60.31,59,0.103493129,0
1239,14427.56,12.03,11.7,spiral weld,,28.64717974,-81.3231505,55.8,48,0.019374128,0
1260,14675.21,12.02,11.7,spiral weld,,28.64891128,-81.32153785,54.62,51,0.031026314,0
1281,14927.69,13.58,11.7,spiral weld,,28.65067682,-81.31989441,60.87,52,0.026147376,0
1302,15180.04,12.01,11.7,spiral weld,,28.65244209,-81.3182526,61.09,56,0.038798356,0
1323,15433.55,11.05,11.7,spiral weld,,28.65421499,-81.3166014,63.36,60,0.047820578,0
1344,15689.57,12.02,11.7,spiral weld,,28.65600585,-81.31493424,62.81,61,0.05643259,0
1365,15941.84,12.02,11.7,spiral weld,,28.65777322,-81.31329563,66.59,59,0.04435053,0
1386,16196.51,11.99,11.7,spiral weld,,28.65955477,-81.31163816,69.24,70,0.309510141,0
1407,16449.46,13.67,11.7,spiral weld,,28.66132299,-81.30998937,69.96,63,0.025764836,0
1428,16705.88,11.79,11.7,spiral weld,,28.66311258,-81.30831448,71.93,61,0.019375753,0
1449,16962.76,3.74,11.7,spiral weld,,28.66491059,-81.30664378,72.96,68,0.062068736,0
1470,17205.49,13.65,11.7,spiral weld,,28.66660928,-81.30506493,76.45,68,0.103372026,0
1491,17458.78,12,11.7,spiral weld,,28.66837819,-81.30341183,79.85,74,0.036499778,0
1512,17711.08,12.01,11.7,spiral weld,,28.67013827,-81.30176172,82.62,75,0.044343797,0
